id,name,entity,text,description,url,keywords,hashtags,PARENT_TACTICS,PARENT_TECHNIQUES,PARENT_MITIGATIONS,PARENT_CASESTUDIES,CHILD_TECHNIQUES
AML.TA0000,AI Model Access,tactic,"
AI Model Access is a tactic that describes adversary efforts to obtain entry to an AI model, ranging from full internal knowledge to simple API or service interaction, enabling information gathering, attack development, and data injection to manipulate or exploit the model.","The adversary is attempting to gain some level of access to an AI model.

AI Model Access enables techniques that use various types of access to the AI model that can be used by the adversary to gain information, develop attacks, and as a means to input data to the model.
The level of access can range from the full knowledge of the internals of the model to access to the physical environment where data is collected for use in the AI model.
The adversary may use varying levels of model access during the course of their attack, from staging the attack to impacting the target system.

Access to an AI model may require access to the system housing the model, the model may be publicly accessible via an API, or it may be accessed indirectly via interaction with a product or service that utilizes AI as part of its processes.",https://atlas.mitre.org/tactics/AML.TA0000,"[
  ""AI Model Access"",
  ""adversary access to AI model"",
  ""model access levels"",
  ""API access to AI model"",
  ""data injection via AI model"",
  ""attack development through model access""
]","[""#tactic/ai-model-access""]",[],[],[],[],"['AML.T0040', 'AML.T0041', 'AML.T0044', 'AML.T0047']"
AML.TA0001,AI Attack Staging,tactic,"
AI Attack Staging is a tactic that enables adversaries to leverage their knowledge and access to tailor attacks on a target AI model. It includes techniques such as training proxy models, poisoning the model, and creating adversarial inputs, often performed offline and difficult to mitigate, aiming to achieve the attacker’s objectives.","The adversary is leveraging their knowledge of and access to the target system to tailor the attack.

AI Attack Staging consists of techniques adversaries use to prepare their attack on the target AI model.
Techniques can include training proxy models, poisoning the target model, and crafting adversarial data to feed the target model.
Some of these techniques can be performed in an offline manner and are thus difficult to mitigate.
These techniques are often used to achieve the adversary's end goal.",https://atlas.mitre.org/tactics/AML.TA0001,"[
  ""AI Attack Staging"",
  ""training proxy models"",
  ""poisoning the target model"",
  ""adversarial data"",
  ""offline attack techniques"",
  ""tailored AI attacks""
]","[""#tactic/ai-attack-staging""]",[],[],[],[],"['AML.T0005', 'AML.T0005.000', 'AML.T0005.001', 'AML.T0005.002', 'AML.T0018', 'AML.T0018.000', 'AML.T0018.001', 'AML.T0018.002', 'AML.T0042', 'AML.T0043', 'AML.T0043.000', 'AML.T0043.001', 'AML.T0043.002', 'AML.T0043.003', 'AML.T0043.004', 'AML.T0088', 'AML.T0102']"
AML.TA0002,Reconnaissance,tactic,"
Reconnaissance is a tactic that involves adversaries actively or passively gathering information about an AI system to support future operations, such as mapping the victim organization's AI capabilities, research efforts, and model specifics, which can later be used for targeting, tailoring attacks, or further reconnaissance.","The adversary is trying to gather information about the AI system they can use to plan future operations.

Reconnaissance consists of techniques that involve adversaries actively or passively gathering information that can be used to support targeting.
Such information may include details of the victim organizations' AI capabilities and research efforts.
This information can be leveraged by the adversary to aid in other phases of the adversary lifecycle, such as using gathered information to obtain relevant AI artifacts, targeting AI capabilities used by the victim, tailoring attacks to the particular models used by the victim, or to drive and lead further Reconnaissance efforts.",https://atlas.mitre.org/tactics/AML.TA0002,"[
  ""Reconnaissance"",
  ""gather information"",
  ""AI system"",
  ""future operations"",
  ""victim organization"",
  ""AI capabilities"",
  ""research efforts"",
  ""targeting"",
  ""tailored attacks""
]","[""#tactic/reconnaissance""]",[],[],[],[],"['AML.T0000', 'AML.T0000.000', 'AML.T0000.001', 'AML.T0000.002', 'AML.T0001', 'AML.T0003', 'AML.T0004', 'AML.T0006', 'AML.T0064', 'AML.T0087', 'AML.T0095', 'AML.T0095.000']"
AML.TA0003,Resource Development,tactic,"
Resource Development is a tactic that involves adversaries creating, purchasing, compromising, or stealing resources such as AI artifacts, infrastructure, accounts, or capabilities to support targeting and enable later attack phases like AI Attack Staging. These resources provide the foundation for operational capabilities and can be leveraged throughout the adversary lifecycle.","The adversary is trying to establish resources they can use to support operations.

Resource Development consists of techniques that involve adversaries creating,
purchasing, or compromising/stealing resources that can be used to support targeting.
Such resources include AI artifacts, infrastructure, accounts, or capabilities.
These resources can be leveraged by the adversary to aid in other phases of the adversary lifecycle, such as [AI Attack Staging](/tactics/AML.TA0001).",https://atlas.mitre.org/tactics/AML.TA0003,"[
  ""Resource Development"",
  ""AI artifacts"",
  ""infrastructure"",
  ""accounts"",
  ""capabilities"",
  ""adversary lifecycle"",
  ""AI Attack Staging""
]","[""#tactic/resource-development""]",[],[],[],[],"['AML.T0002', 'AML.T0002.000', 'AML.T0002.001', 'AML.T0002.002', 'AML.T0008', 'AML.T0008.000', 'AML.T0008.001', 'AML.T0008.002', 'AML.T0008.003', 'AML.T0008.004', 'AML.T0008.005', 'AML.T0016', 'AML.T0016.000', 'AML.T0016.001', 'AML.T0016.002', 'AML.T0017', 'AML.T0017.000', 'AML.T0019', 'AML.T0020', 'AML.T0021', 'AML.T0058', 'AML.T0060', 'AML.T0065', 'AML.T0066', 'AML.T0079', 'AML.T0104']"
AML.TA0004,Initial Access,tactic,"
Initial Access is a tactic that describes how adversaries gain foothold in AI systems, using entry vectors such as network, mobile, or edge devices, whether the AI runs locally or via cloud.","The adversary is trying to gain access to the AI system.

The target system could be a network, mobile device, or an edge device such as a sensor platform.
The AI capabilities used by the system could be local with onboard or cloud-enabled AI capabilities.

Initial Access consists of techniques that use various entry vectors to gain their initial foothold within the system.",https://atlas.mitre.org/tactics/AML.TA0004,"[
  ""Initial Access"",
  ""gain access to AI system"",
  ""entry vectors"",
  ""network access"",
  ""mobile device access"",
  ""edge device access"",
  ""sensor platform access"",
  ""cloud-enabled AI""
]","[""#tactic/initial-access""]",[],[],[],[],"['AML.T0010', 'AML.T0010.000', 'AML.T0010.001', 'AML.T0010.002', 'AML.T0010.003', 'AML.T0010.004', 'AML.T0010.005', 'AML.T0012', 'AML.T0015', 'AML.T0049', 'AML.T0052', 'AML.T0052.000', 'AML.T0052.001', 'AML.T0078', 'AML.T0093']"
AML.TA0005,Execution,tactic,"
Execution is a tactic that involves running adversary‑controlled code, often embedded in AI artifacts or software, on local or remote systems. It enables malicious payloads such as PowerShell scripts to execute, supporting objectives like network exploration or data theft.","The adversary is trying to run malicious code embedded in AI artifacts or software.

Execution consists of techniques that result in adversary-controlled code running on a local or remote system.
Techniques that run malicious code are often paired with techniques from all other tactics to achieve broader goals, like exploring a network or stealing data.
For example, an adversary might use a remote access tool to run a PowerShell script that does [Remote System Discovery](https://attack.mitre.org/techniques/T1018/).",https://atlas.mitre.org/tactics/AML.TA0005,"[
  ""Execution"",
  ""run malicious code"",
  ""AI artifacts"",
  ""remote system"",
  ""adversary-controlled code"",
  ""PowerShell script""
]","[""#tactic/execution""]",[],[],[],[],"['AML.T0011', 'AML.T0011.000', 'AML.T0011.001', 'AML.T0011.002', 'AML.T0011.003', 'AML.T0050', 'AML.T0051', 'AML.T0051.000', 'AML.T0051.001', 'AML.T0051.002', 'AML.T0053', 'AML.T0100', 'AML.T0103']"
AML.TA0006,Persistence,tactic,"
Persistence is a tactic that describes adversary methods for maintaining access to AI systems across restarts or credential changes, often by leaving modified ML artifacts such as poisoned models or manipulated artifacts.","The adversary is trying to maintain their foothold via AI artifacts or software.

Persistence consists of techniques that adversaries use to keep access to systems across restarts, changed credentials, and other interruptions that could cut off their access.
Techniques used for persistence often involve leaving behind modified ML artifacts such as poisoned training data or manipulated AI models.",https://atlas.mitre.org/tactics/AML.TA0006,"[
  ""persistence"",
  ""maintain foothold"",
  ""AI artifacts"",
  ""poisoned training data"",
  ""manipulated AI models"",
  ""adversary persistence"",
  ""ML artifacts"",
  ""system access""
]","[""#tactic/persistence""]",[],[],[],[],"['AML.T0018', 'AML.T0018.000', 'AML.T0018.001', 'AML.T0018.002', 'AML.T0020', 'AML.T0061', 'AML.T0070', 'AML.T0080', 'AML.T0080.000', 'AML.T0080.001', 'AML.T0081', 'AML.T0093', 'AML.T0099', 'AML.T0110']"
AML.TA0007,Defense Evasion,tactic,"
Defense Evasion is a tactic that encompasses methods adversaries use to avoid detection by AI‑enabled security tools, such as malware detectors, throughout a compromise. It represents techniques for circumventing AI‑driven defensive mechanisms.","The adversary is trying to avoid being detected by AI-enabled security software.

Defense Evasion consists of techniques that adversaries use to avoid detection throughout their compromise.
Techniques used for defense evasion include evading AI-enabled security software such as malware detectors.",https://atlas.mitre.org/tactics/AML.TA0007,"[
  ""Defense Evasion"",
  ""avoid detection"",
  ""AI-enabled security software"",
  ""malware detectors"",
  ""circumvent AI-driven defensive mechanisms""
]","[""#tactic/defense-evasion""]",[],[],[],[],"['AML.T0015', 'AML.T0054', 'AML.T0067', 'AML.T0067.000', 'AML.T0068', 'AML.T0071', 'AML.T0073', 'AML.T0074', 'AML.T0076', 'AML.T0081', 'AML.T0092', 'AML.T0094', 'AML.T0097', 'AML.T0107', 'AML.T0109', 'AML.T0111']"
AML.TA0008,Discovery,tactic,"
Discovery is a tactic that describes adversaries gathering knowledge about an AI environment to map its structure, identify capabilities, and explore exploitable assets before taking further action.","The adversary is trying to figure out your AI environment.

Discovery consists of techniques an adversary may use to gain knowledge about the system and internal network.
These techniques help adversaries observe the environment and orient themselves before deciding how to act.
They also allow adversaries to explore what they can control and what's around their entry point in order to discover how it could benefit their current objective.
Native operating system tools are often used toward this post-compromise information-gathering objective.",https://atlas.mitre.org/tactics/AML.TA0008,"[
  ""Discovery"",
  ""AI environment"",
  ""knowledge gathering"",
  ""system mapping"",
  ""capability identification"",
  ""exploitable assets"",
  ""post-compromise information""
]","[""#tactic/discovery""]",[],[],[],[],"['AML.T0007', 'AML.T0013', 'AML.T0014', 'AML.T0062', 'AML.T0063', 'AML.T0069', 'AML.T0069.000', 'AML.T0069.001', 'AML.T0069.002', 'AML.T0075', 'AML.T0084', 'AML.T0084.000', 'AML.T0084.001', 'AML.T0084.002', 'AML.T0084.003', 'AML.T0089']"
AML.TA0009,Collection,tactic,"
Collection is a tactic that involves adversaries gathering AI artifacts and related information from sources such as software repositories, container registries, model repositories, and object stores to support their objectives, often preceding exfiltration or further operations.","The adversary is trying to gather AI artifacts and other related information relevant to their goal.

Collection consists of techniques adversaries may use to gather information and the sources information is collected from that are relevant to following through on the adversary's objectives.
Frequently, the next goal after collecting data is to steal (exfiltrate) the AI artifacts, or use the collected information to stage future operations.
Common target sources include software repositories, container registries, model repositories, and object stores.",https://atlas.mitre.org/tactics/AML.TA0009,"[
  ""AI artifacts collection"",
  ""software repositories"",
  ""container registries"",
  ""model repositories"",
  ""object stores"",
  ""gather AI artifacts"",
  ""adversary collection"",
  ""exfiltration preparation""
]","[""#tactic/collection""]",[],[],[],[],"['AML.T0035', 'AML.T0036', 'AML.T0037', 'AML.T0085', 'AML.T0085.000', 'AML.T0085.001']"
