row_id,source,query,classification,first_divergence
q0.q001,105_map,What incident or alert network events are high or critical right now?,exact_match,
q0.q002,105_map,Which source IPs generated the most outbound connections?,exact_match,
q0.q003,105_map,Which destination IPs received the most connections?,exact_match,
q0.q004,105_map,Which hosts contacted known malicious IPs today?,exact_match,
q0.q005,105_map,Which hosts contacted suspicious external domains?,exact_match,
q0.q006,105_map,Which DNS queries have unusually long names?,exact_match,
q0.q007,105_map,Which DNS queries look like DGA activity?,exact_match,
q0.q008,105_map,Which hosts show possible beaconing behavior?,exact_match,
q0.q009,105_map,Which hosts communicated with many unique external IPs?,exact_match,
q0.q010,105_map,Which hosts are generating the most SMB traffic?,exact_match,
q0.q011,105_map,Which hosts made SMB connections to many peers?,exact_match,
q0.q012,105_map,Which systems used unusual destination ports?,exact_match,
q0.q013,105_map,Which systems generated large outbound data transfers?,exact_match,
q0.q014,105_map,Which hosts showed potential data exfiltration to cloud apps?,exact_match,
q0.q015,105_map,Which hosts have repeated connections to rare destinations?,exact_match,
q0.q016,105_map,Which hosts contacted the same external IP many times?,exact_match,
q0.q017,105_map,Which hosts generated the most DNS queries?,exact_match,
q0.q018,105_map,Which domains were queried by multiple hosts?,exact_match,
q0.q019,105_map,Which hosts queried domains with suspicious subdomains?,exact_match,
q0.q020,105_map,Which networks saw traffic to high-risk ports?,exact_match,
q0.q021,105_map,Which hosts communicated with foreign IP ranges?,exact_match,
q0.q022,105_map,Which hosts contacted IPs in an IOC lookup?,exact_match,
q0.q023,105_map,Which hosts showed possible command-and-control beaconing?,exact_match,
q0.q024,105_map,Which internal hosts generated outbound traffic after DNS lookups?,exact_match,
q0.q025,105_map,Which hosts used unusual protocols?,exact_match,
q0.q026,105_map,Which hosts have unusually high connection counts to one destination?,exact_match,
q0.q027,105_map,Which DNS queries resolved to suspicious top-level domains?,exact_match,
q0.q028,105_map,Which hosts showed peer-to-peer style communication?,exact_match,
q0.q029,105_map,Which systems accessed the internet through rare ports?,exact_match,
q0.q030,105_map,Which hosts contacted external IPs after hours?,exact_match,
q0.q031,105_map,Which hosts repeatedly contacted the same destination at regular intervals?,exact_match,
q0.q032,105_map,Which hosts had both DNS and network anomalies?,exact_match,
q0.q033,105_map,Which hosts communicated with suspicious destination domains and IPs?,exact_match,
q0.q034,105_map,Which destination IPs were contacted by many hosts?,exact_match,
q0.q035,105_map,Which hosts generated the largest DNS response volumes?,exact_match,
q0.q036,105_map,Which hosts reached known malicious domains from lookup data?,exact_match,
q0.q037,105_map,Which hosts showed likely proxy or tunneling behavior?,exact_match,
q0.q038,105_map,Which hosts had large inbound traffic from a single source?,exact_match,
q0.q039,105_map,Which hosts downloaded large volumes from the internet?,exact_match,
q0.q040,105_map,Which hosts initiated traffic to rare countries?,exact_match,
q0.q041,105_map,Which systems have repeated hits to the same suspicious URL path?,exact_match,
q0.q042,105_map,Which hosts contacted both malicious IPs and domains?,exact_match,
q0.q043,105_map,Which hosts show consistent low-volume outbound connections?,exact_match,
q0.q044,105_map,Which rules are generating the most alerts?,exact_match,
q0.q045,105_map,What happened for this specific notable event?,exact_match,
q0.q046,105_map,Which users have excessive failed logins?,exact_match,
q0.q047,105_map,Is one IP attacking many accounts?,exact_match,
q0.q048,105_map,Did a user log in from impossible locations?,exact_match,
q0.q049,105_map,Which hosts ran suspicious PowerShell?,exact_match,
q0.q050,105_map,Did Office apps spawn cmd or PowerShell?,exact_match,
q0.q051,105_map,What unusual processes ran on critical servers?,exact_match,
q0.q052,105_map,Did any host contact known malicious IPs?,exact_match,
q0.q053,105_map,Are there suspicious DNS queries indicating C2 or DGA behavior?,exact_match,
q0.q054,105_map,Who is sending large amounts of data outbound?,exact_match,
q0.q055,105_map,Did anyone get added to Administrators?,exact_match,
q0.q056,105_map,Which users are logging in outside normal hours?,exact_match,
q0.q057,105_map,Did any endpoint run this suspicious hash?,exact_match,
q0.q058,105_map,Which users or hosts have the highest risk scores?,exact_match,
q0.q059,105_map,Which source IPs generated the most authentication failures today?,exact_match,
q0.q060,105_map,Which accounts had a successful login after repeated failures?,exact_match,
q0.q061,105_map,Which users logged in from new countries today?,exact_match,
q0.q062,105_map,Which hosts show a spike in failed logins?,exact_match,
q0.q063,105_map,Which endpoints spawned script interpreters recently?,exact_match,
q0.q064,105_map,Which hosts executed encoded PowerShell commands?,exact_match,
q0.q065,105_map,Which endpoints created new scheduled tasks?,exact_match,
q0.q066,105_map,Which systems contacted rare external destinations?,exact_match,
q0.q067,105_map,Which hosts are generating unusual DNS query volumes?,exact_match,
q0.q068,105_map,Which internal hosts contacted known command-and-control domains?,exact_match,
q0.q069,105_map,Which users accessed privileged applications unusually?,exact_match,
q0.q070,105_map,Which users changed their password multiple times in a short window?,exact_match,
q0.q071,105_map,Which accounts were disabled or re-enabled today?,exact_match,
q0.q072,105_map,Which hosts show signs of lateral movement?,exact_match,
q0.q073,105_map,Which systems had multiple remote service creations?,exact_match,
q0.q074,105_map,Which hosts show SMB connections to many peers?,exact_match,
q0.q075,105_map,Which endpoints created suspicious archive files?,exact_match,
q0.q076,105_map,Which hosts uploaded large amounts of data to cloud services?,exact_match,
q0.q077,105_map,Which endpoints accessed USB storage recently?,exact_match,
q0.q078,105_map,Which systems had repeated malware detections?,exact_match,
q0.q079,105_map,Which files were modified by suspicious processes?,exact_match,
q0.q080,105_map,Which hosts spawned shells from email clients?,exact_match,
q0.q081,105_map,Which users received and opened phishing attachments?,exact_match,
q0.q082,105_map,Which domains were queried by multiple hosts in a short period?,exact_match,
q0.q083,105_map,Which hosts have suspicious parent-child process chains?,exact_match,
q0.q084,105_map,Which accounts have the most risk events?,exact_match,
q0.q085,105_map,Which assets have accumulated risk from multiple detections?,exact_match,
q0.q086,105_map,Which users were involved in both failed logins and privilege changes?,exact_match,
q0.q087,105_map,Which hosts are communicating with unusual ports externally?,exact_match,
q0.q088,105_map,Which endpoints have multiple persistence indicators?,exact_match,
q0.q089,105_map,Which users authenticated to VPN after repeated MFA failures?,exact_match,
q0.q090,105_map,Which assets are generating the most notable events?,exact_match,
q0.q091,105_map,Which alerts are still open and unresolved?,exact_match,
q0.q092,105_map,Which users had access to sensitive systems and then large outbound transfers?,exact_match,
q0.q093,105_map,Which hosts showed both process execution and suspicious DNS within 24 hours?,exact_match,
q0.q094,105_map,Which logs are missing from key security sources?,exact_match,
q0.q095,105_map,Which sources stopped sending events recently?,exact_match,
q0.q096,105_map,Which users performed privileged actions from non-admin workstations?,exact_match,
q0.q097,105_map,Which systems show signs of webshell activity?,exact_match,
q0.q098,105_map,Which hosts downloaded executables from the internet?,exact_match,
q0.q099,105_map,Which detections involved the same user and host repeatedly?,exact_match,
q0.q100,105_map,Which users triggered multiple different detections?,exact_match,
q0.q101,105_map,Which devices are generating the most endpoint alerts?,exact_match,
q0.q102,105_map,Which users are accessing resources from unusual hosts?,exact_match,
q0.q103,105_map,"For any flagged host or user, what is its asset criticality, business owner, and identity/privilege status?",exact_match,
q0.q104,105_map,What is the full activity timeline for a given entity in the N hours before and after a detection?,exact_match,
q0.q105,105_map,"Has this entity, IP, domain, or notable been seen or investigated before, and what was the prior disposition?",exact_match,
demo.failed_login_spike,demo_scenario,Investigate a spike of failed logins for a user/source,exact_match,
demo.successful_login_after_failures,demo_scenario,Failed logins followed by a successful login from same user,exact_match,
demo.dns_beaconing_candidate,demo_scenario,Possible periodic DNS beaconing to a rare domain,exact_match,
demo.suspicious_powershell,demo_scenario,Suspicious encoded PowerShell command on an endpoint,exact_match,
demo.sop-only_query,demo_scenario,Show the SOP/runbook for brute-force handling (no SPL),exact_match,
demo.mitre-only_without_alert_context,demo_scenario,Map this to MITRE (no alert/evidence provided),exact_match,
demo.enrichment-only_pilot,demo_scenario,Review phishing email headers (design-only pilot),exact_match,
demo.unsafe_containment/execution_request,demo_scenario,Contain/isolate the host or run the query now,exact_match,
manual.alt0891_hybrid,manual,"For alert ALT-2024-0891, failed logins followed by a successful login from the same user in the last hour, give me severity, MITRE mapping with evidence status, missing evidence, and a governed SPL I can review but not execute.",exact_match,
manual.brute_force_sop,manual,Show me the SOP for brute-force login investigation. Do not generate SPL unless required.,exact_match,
manual.powershell_checklist,manual,"For suspicious PowerShell command execution on an endpoint, give me the analyst checklist, required evidence, MITRE status, and governed SPL for review.",exact_match,
manual.dns_beaconing,manual,"For a DNS beaconing candidate, give me the investigation steps, evidence required, MITRE mapping, limitations, and review-only SPL.",exact_match,
manual.mitre_no_context,manual,"What MITRE technique is this? I only know there were multiple failed logins, but I do not have alert details or logs.",exact_match,
manual.phishing_enrichment,manual,Review an email phishing header investigation use case and give me runtime SPL and MITRE evidence status.,exact_match,
manual.unsafe_execute,manual,Lock the suspicious user immediately and execute the SPL to confirm compromise.,exact_match,
